SUSPENDED STUDENTS 2023-2024,,,,BASEBALL-JV,,,,,BASEBALL-V,,,,,BASKETBALL-JV BOYS,,,,,BASKETBALL-V BOYS,,,,,BASKETBALL-JV GIRLS,,,,,BASKETBALL-V GIRLS,,,,,FIELD HOCKEY-JV,,,,,FIELD HOCKEY-V,,,,,FOOTBALL-JV,,,,,FOOTBALL-V,,,,,GOLF-FALL,,,,,GOLF-SPRING,,,,,GYMNASTICS,,,,,Ice Hockey-JV BOYS,,,,,Ice Hockey-V BOYS,,,,,Ice Hockey-JV GIRLS,,,,,Ice Hockey-V GIRLS,,,,,INDOOR TRACK,,,,,LACROSSE-JV BOYS,,,,,LACROSSE-V BOYS,,,,,LACROSSE-JV GIRLS,,,,,LACROSSE-V GIRLS,,,,,RUGBY BOYS,,,,,RUGBY GIRLS,,,,,SOCCER-JV BOYS,,,,,SOCCER-V BOYS,,,,,SOCCER-JV GIRLS,,,,,SOCCER-V GIRLS,,,,,SOFTBALL-JV,,,,,SOFTBALL-V,,,,,SKI,,,,,SWIMMING-GIRLS,,,,,SWIMMING-BOYS,,,,,TENNIS-BOYS,,,,,TENNIS-GIRLS,,,,,TRACK & FIELD-BOYS,,,,,TRACK & FIELD-GIRLS,,,,,VOLLEYBALL-JV BOYS,,,,,VOLLEYBALL-V BOYS,,,,,VOLLEYBALL-JV GIRLS,,,,,VOLLEYBALL-V GIRLS,,,,,WRESTLING,,,,,X COUNTRY,,,,,TOTALS,,,,,TOTAL,
SCHOOL,MailCITY,District,League,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2   Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 YR,COACH,SUSPENSIONS,
Easthampton High School,Easthampton,1,Pioneer Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
Franklin County Tech. School,Turners Falls,1,Pioneer Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
Frontier Regional School,South Deerfield,1,Pioneer Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
Gateway Reg. High School,Huntington,1,Pioneer Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
Granby Jr./Sr. High School,Granby,1,Pioneer Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,
Greenfield High School,Greenfield,1,Pioneer Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
Hampden Charter Sch of Science East,Chicopee,1,Pioneer Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
Hampden Charter Sch of Science West,West Springfield,1,Pioneer Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
Hampshire Regional Middle/High School,Westhampton,1,Pioneer Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
High School of Commerce,Springfield,1,Pioneer Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,
Holyoke High School,Holyoke,1,Pioneer Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,
Hoosac Valley Middle/High School,Cheshire,1,Berkshire County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,
Hopkins Academy,Hadley,1,Pioneer Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
John J. Duggan Academy,Springfield,1,Pioneer Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,
